"alert__week","alert__year","alert__count","confidence__cat"
52,2023,14,"h"
52,2023,5,"l"
52,2023,144,"n"
40,2023,157,"h"
40,2023,917,"l"
40,2023,2699,"n"
39,2023,1044,"h"
39,2023,3704,"l"
39,2023,12537,"n"
38,2023,1276,"h"
38,2023,2535,"l"
38,2023,10998,"n"
37,2023,718,"h"
37,2023,2735,"l"
37,2023,10473,"n"
36,2023,702,"h"
36,2023,3457,"l"
36,2023,11843,"n"
35,2023,649,"h"
35,2023,1642,"l"
35,2023,8618,"n"
34,2023,541,"h"
34,2023,1818,"l"
34,2023,8526,"n"
33,2023,311,"h"
33,2023,1502,"l"
33,2023,6489,"n"
32,2023,308,"h"
32,2023,700,"l"
32,2023,4713,"n"
31,2023,783,"h"
31,2023,1148,"l"
31,2023,9326,"n"
30,2023,281,"h"
30,2023,1899,"l"
30,2023,8683,"n"
29,2023,196,"h"
29,2023,749,"l"
29,2023,5593,"n"
28,2023,431,"h"
28,2023,370,"l"
28,2023,5297,"n"
27,2023,275,"h"
27,2023,1124,"l"
27,2023,8014,"n"
26,2023,359,"h"
26,2023,1181,"l"
26,2023,8911,"n"
25,2023,400,"h"
25,2023,545,"l"
25,2023,6281,"n"
24,2023,329,"h"
24,2023,1361,"l"
24,2023,8817,"n"
23,2023,258,"h"
23,2023,1076,"l"
23,2023,7450,"n"
22,2023,277,"h"
22,2023,668,"l"
22,2023,6138,"n"
21,2023,245,"h"
21,2023,681,"l"
21,2023,5987,"n"
20,2023,127,"h"
20,2023,537,"l"
20,2023,4903,"n"
19,2023,62,"h"
19,2023,58,"l"
19,2023,1894,"n"
18,2023,103,"h"
18,2023,212,"l"
18,2023,2406,"n"
17,2023,107,"h"
17,2023,609,"l"
17,2023,3540,"n"
16,2023,24,"h"
16,2023,102,"l"
16,2023,1398,"n"
15,2023,55,"h"
15,2023,67,"l"
15,2023,941,"n"
14,2023,6,"h"
14,2023,17,"l"
14,2023,357,"n"
13,2023,5,"h"
13,2023,8,"l"
13,2023,244,"n"
12,2023,4,"h"
12,2023,6,"l"
12,2023,202,"n"
11,2023,1,"h"
11,2023,10,"l"
11,2023,214,"n"
10,2023,7,"l"
10,2023,112,"n"
9,2023,5,"h"
9,2023,32,"l"
9,2023,188,"n"
8,2023,1,"h"
8,2023,28,"l"
8,2023,207,"n"
7,2023,1,"h"
7,2023,51,"l"
7,2023,311,"n"
6,2023,10,"h"
6,2023,4,"l"
6,2023,166,"n"
5,2023,28,"l"
5,2023,174,"n"
4,2023,3,"h"
4,2023,3,"l"
4,2023,348,"n"
3,2023,1,"h"
3,2023,8,"l"
3,2023,106,"n"
2,2023,4,"h"
2,2023,20,"l"
2,2023,182,"n"
1,2023,30,"h"
1,2023,71,"l"
1,2023,1159,"n"
52,2022,115,"h"
52,2022,119,"l"
52,2022,1924,"n"
51,2022,51,"h"
51,2022,114,"l"
51,2022,1554,"n"
50,2022,37,"h"
50,2022,179,"l"
50,2022,1511,"n"
49,2022,128,"h"
49,2022,426,"l"
49,2022,3443,"n"
48,2022,914,"h"
48,2022,546,"l"
48,2022,7750,"n"
47,2022,195,"h"
47,2022,1721,"l"
47,2022,7449,"n"
46,2022,572,"h"
46,2022,501,"l"
46,2022,6454,"n"
45,2022,883,"h"
45,2022,1545,"l"
45,2022,11462,"n"
44,2022,482,"h"
44,2022,1186,"l"
44,2022,7110,"n"
43,2022,617,"h"
43,2022,1636,"l"
43,2022,8700,"n"
42,2022,1184,"h"
42,2022,1708,"l"
42,2022,9230,"n"
41,2022,1706,"h"
41,2022,3007,"l"
41,2022,13858,"n"
40,2022,1664,"h"
40,2022,4479,"l"
40,2022,16595,"n"
39,2022,1198,"h"
39,2022,2780,"l"
39,2022,11905,"n"
38,2022,562,"h"
38,2022,1936,"l"
38,2022,7423,"n"
37,2022,661,"h"
37,2022,2896,"l"
37,2022,9469,"n"
36,2022,433,"h"
36,2022,1989,"l"
36,2022,7251,"n"
35,2022,898,"h"
35,2022,1571,"l"
35,2022,8254,"n"
34,2022,376,"h"
34,2022,1174,"l"
34,2022,4968,"n"
30,2022,16,"h"
30,2022,175,"l"
30,2022,1207,"n"
29,2022,368,"h"
29,2022,557,"l"
29,2022,5187,"n"
28,2022,284,"h"
28,2022,710,"l"
28,2022,6366,"n"
27,2022,387,"h"
27,2022,1002,"l"
27,2022,7028,"n"
26,2022,406,"h"
26,2022,566,"l"
26,2022,6124,"n"
25,2022,324,"h"
25,2022,546,"l"
25,2022,5545,"n"
24,2022,75,"h"
24,2022,456,"l"
24,2022,3742,"n"
23,2022,120,"h"
23,2022,229,"l"
23,2022,3337,"n"
22,2022,216,"h"
22,2022,450,"l"
22,2022,4645,"n"
21,2022,48,"h"
21,2022,364,"l"
21,2022,2998,"n"
20,2022,163,"h"
20,2022,417,"l"
20,2022,3360,"n"
19,2022,67,"h"
19,2022,217,"l"
19,2022,1770,"n"
18,2022,35,"h"
18,2022,100,"l"
18,2022,1210,"n"
17,2022,15,"h"
17,2022,11,"l"
17,2022,540,"n"
16,2022,17,"h"
16,2022,91,"l"
16,2022,644,"n"
15,2022,26,"h"
15,2022,123,"l"
15,2022,860,"n"
14,2022,18,"h"
14,2022,63,"l"
14,2022,583,"n"
13,2022,3,"h"
13,2022,33,"l"
13,2022,262,"n"
12,2022,3,"h"
12,2022,13,"l"
12,2022,234,"n"
11,2022,5,"l"
11,2022,56,"n"
10,2022,1,"h"
10,2022,21,"l"
10,2022,94,"n"
9,2022,3,"h"
9,2022,19,"l"
9,2022,89,"n"
8,2022,1,"h"
8,2022,15,"l"
8,2022,78,"n"
7,2022,13,"h"
7,2022,20,"l"
7,2022,199,"n"
6,2022,23,"l"
6,2022,223,"n"
5,2022,6,"h"
5,2022,104,"l"
5,2022,485,"n"
4,2022,96,"h"
4,2022,45,"l"
4,2022,953,"n"
3,2022,4,"h"
3,2022,7,"l"
3,2022,126,"n"
2,2022,4,"h"
2,2022,18,"l"
2,2022,467,"n"
1,2022,20,"h"
1,2022,50,"l"
1,2022,521,"n"
53,2021,6,"h"
53,2021,83,"l"
