"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MDG",2001,21193.78309873169875967,11483276.646552819187215
"MDG",2002,27044.85135033703856139,14525708.609374821559563
"MDG",2003,15332.51362203851146557,8306907.817686339830942
"MDG",2004,20283.01778544939911146,11029565.379642200661944
"MDG",2005,22517.44351831580897492,12074422.047534584081417
"MDG",2006,12821.23145794308781327,6858833.478243191451486
"MDG",2007,45969.75878251524180439,24927404.837329695782270
"MDG",2008,23616.28269655275590616,12889312.421639357806331
"MDG",2009,34018.95376395228940015,18697428.615120044015053
"MDG",2010,23825.27192837762746787,13065669.696182282919655
"MDG",2011,54167.28311600836890575,29512011.160264838811456
"MDG",2012,32422.57879936312459233,17564682.773333143316991
"MDG",2013,65211.35292240080044137,35780983.581639507911805
"MDG",2014,78698.51708379446393812,43279837.857279728817381
"MDG",2015,57831.41300191173304569,31544698.896071294501320
"MDG",2016,74991.20873099805178694,41126534.339846591378651
"MDG",2017,109612.20449228907584645,59879407.999721567690884
"MDG",2018,94785.17755387407333458,52487722.239734294557889
"MDG",2019,54256.72264289494221068,29871444.735602972119033
"MDG",2020,57747.61394303613191968,32074692.516807581262234
"MDG",2021,43744.77213725183637179,24117759.1977183247771243
"MDG",2022,46545.86313891213702293,25750872.48076462091583
