"iso","alert__year","alert__week","alert__count","confidence__cat"
"MDG",2018,16,6,"h"
"MDG",2013,36,503,"h"
"MDG",2017,18,119,"h"
"MDG",2021,37,477,"h"
"MDG",2021,12,5,"h"
"MDG",2021,30,489,"h"
"MDG",2015,18,60,"h"
"MDG",2023,16,24,"h"
"MDG",2017,3,66,"h"
"MDG",2020,30,467,"h"
"MDG",2015,12,4,"h"
"MDG",2017,21,255,"h"
"MDG",2013,17,60,"h"
"MDG",2013,6,2,"h"
"MDG",2020,35,732,"h"
"MDG",2018,7,1,"h"
"MDG",2012,44,459,"h"
"MDG",2022,7,13,"h"
"MDG",2022,23,120,"h"
"MDG",2017,39,590,"h"
"MDG",2021,47,221,"h"
"MDG",2019,48,202,"h"
"MDG",2018,3,25,"h"
"MDG",2012,25,162,"h"
"MDG",2013,28,315,"h"
"MDG",2013,25,449,"h"
"MDG",2016,26,379,"h"
"MDG",2012,32,540,"h"
"MDG",2013,19,143,"h"
"MDG",2023,28,431,"h"
"MDG",2018,39,1242,"h"
"MDG",2020,2,2,"h"
"MDG",2013,27,332,"h"
"MDG",2020,16,209,"h"
"MDG",2019,14,6,"h"
"MDG",2018,25,408,"h"
"MDG",2020,7,9,"h"
"MDG",2021,45,1108,"h"
"MDG",2015,25,188,"h"
"MDG",2020,50,34,"h"
"MDG",2016,53,24,"h"
"MDG",2015,5,4,"h"
"MDG",2023,40,157,"h"
"MDG",2014,50,155,"h"
"MDG",2013,20,155,"h"
"MDG",2020,26,200,"h"
"MDG",2014,28,442,"h"
"MDG",2015,23,161,"h"
"MDG",2019,45,1066,"h"
"MDG",2017,24,275,"h"
"MDG",2021,22,112,"h"
"MDG",2015,49,205,"h"
"MDG",2023,20,127,"h"
"MDG",2023,3,1,"h"
"MDG",2017,7,3,"h"
"MDG",2017,37,1772,"h"
"MDG",2022,28,284,"h"
"MDG",2016,14,19,"h"
"MDG",2012,38,516,"h"
"MDG",2018,23,285,"h"
"MDG",2014,29,215,"h"
"MDG",2018,45,989,"h"
"MDG",2014,39,305,"h"
"MDG",2016,10,3,"h"
"MDG",2017,31,556,"h"
"MDG",2018,10,2,"h"
"MDG",2021,5,13,"h"
"MDG",2023,2,4,"h"
"MDG",2020,44,1904,"h"
"MDG",2018,22,179,"h"
"MDG",2016,49,178,"h"
"MDG",2017,19,173,"h"
"MDG",2022,51,51,"h"
"MDG",2021,41,1131,"h"
"MDG",2018,2,4,"h"
"MDG",2012,18,45,"h"
"MDG",2015,17,54,"h"
"MDG",2014,49,570,"h"
"MDG",2020,43,1767,"h"
"MDG",2022,3,4,"h"
"MDG",2023,17,107,"h"
"MDG",2015,31,452,"h"
"MDG",2013,1,74,"h"
"MDG",2016,22,224,"h"
"MDG",2012,13,3,"h"
"MDG",2019,19,144,"h"
"MDG",2023,39,1044,"h"
"MDG",2013,11,8,"h"
"MDG",2023,31,783,"h"
"MDG",2019,3,5,"h"
"MDG",2022,20,163,"h"
"MDG",2012,23,203,"h"
"MDG",2016,41,1977,"h"
"MDG",2023,21,245,"h"
"MDG",2014,33,396,"h"
"MDG",2013,39,1718,"h"
"MDG",2012,50,38,"h"
"MDG",2022,48,914,"h"
"MDG",2023,8,1,"h"
"MDG",2017,4,81,"h"
"MDG",2020,46,415,"h"
"MDG",2020,9,2,"h"
"MDG",2013,12,1,"h"
"MDG",2019,6,1,"h"
"MDG",2018,30,532,"h"
"MDG",2015,33,688,"h"
"MDG",2016,38,1557,"h"
"MDG",2018,14,6,"h"
"MDG",2022,10,1,"h"
"MDG",2018,15,19,"h"
"MDG",2013,38,1787,"h"
"MDG",2023,9,5,"h"
"MDG",2017,1,7,"h"
"MDG",2017,43,1752,"h"
"MDG",2016,24,38,"h"
"MDG",2023,12,4,"h"
"MDG",2021,36,909,"h"
"MDG",2017,33,299,"h"
"MDG",2015,48,300,"h"
"MDG",2015,2,5,"h"
"MDG",2018,13,12,"h"
"MDG",2023,23,258,"h"
"MDG",2013,10,10,"h"
"MDG",2015,47,1136,"h"
"MDG",2019,2,5,"h"
"MDG",2020,33,577,"h"
"MDG",2022,39,1198,"h"
"MDG",2018,31,544,"h"
"MDG",2021,53,6,"h"
"MDG",2012,35,983,"h"
"MDG",2016,23,285,"h"
"MDG",2018,38,2248,"h"
"MDG",2016,4,5,"h"
"MDG",2013,2,9,"h"
"MDG",2023,11,1,"h"
"MDG",2023,18,103,"h"
"MDG",2020,31,231,"h"
"MDG",2014,41,2266,"h"
"MDG",2021,27,333,"h"
"MDG",2019,20,70,"h"
"MDG",2018,43,1907,"h"
"MDG",2021,51,51,"h"
"MDG",2019,52,40,"h"
"MDG",2014,19,70,"h"
"MDG",2016,15,32,"h"
"MDG",2019,18,130,"h"
"MDG",2019,51,9,"h"
"MDG",2018,37,865,"h"
"MDG",2012,21,57,"h"
"MDG",2019,1,19,"h"
"MDG",2013,16,159,"h"
"MDG",2018,27,598,"h"
"MDG",2012,51,101,"h"
"MDG",2015,16,13,"h"
"MDG",2013,44,657,"h"
"MDG",2021,50,168,"h"
"MDG",2020,39,793,"h"
"MDG",2023,4,3,"h"
"MDG",2012,40,1113,"h"
"MDG",2017,6,15,"h"
"MDG",2014,8,2,"h"
"MDG",2020,28,589,"h"
"MDG",2020,22,480,"h"
"MDG",2019,17,25,"h"
"MDG",2023,37,718,"h"
"MDG",2016,33,306,"h"
"MDG",2012,39,1418,"h"
"MDG",2021,4,11,"h"
"MDG",2021,38,358,"h"
"MDG",2016,1,14,"h"
"MDG",2020,32,509,"h"
"MDG",2019,47,240,"h"
"MDG",2014,48,466,"h"
"MDG",2017,30,270,"h"
"MDG",2023,36,702,"h"
"MDG",2012,11,2,"h"
"MDG",2022,12,3,"h"
"MDG",2019,16,62,"h"
"MDG",2017,50,63,"h"
"MDG",2020,15,31,"h"
"MDG",2020,36,460,"h"
"MDG",2017,35,681,"h"
"MDG",2015,14,21,"h"
"MDG",2022,5,6,"h"
"MDG",2019,8,6,"h"
"MDG",2021,1,71,"h"
"MDG",2018,48,349,"h"
"MDG",2022,46,572,"h"
"MDG",2014,30,151,"h"
"MDG",2017,29,420,"h"
"MDG",2022,22,216,"h"
"MDG",2018,29,250,"h"
"MDG",2017,5,99,"h"
"MDG",2012,43,619,"h"
"MDG",2016,27,332,"h"
"MDG",2013,15,49,"h"
"MDG",2014,37,2367,"h"
"MDG",2019,36,574,"h"
"MDG",2018,35,375,"h"
"MDG",2021,46,862,"h"
"MDG",2022,13,3,"h"
"MDG",2017,14,15,"h"
"MDG",2020,24,417,"h"
"MDG",2013,18,176,"h"
"MDG",2019,29,597,"h"
"MDG",2012,28,313,"h"
"MDG",2017,9,9,"h"
"MDG",2016,20,358,"h"
"MDG",2021,34,340,"h"
"MDG",2021,28,281,"h"
"MDG",2016,39,1053,"h"
"MDG",2017,51,55,"h"
"MDG",2013,50,78,"h"
"MDG",2014,6,9,"h"
"MDG",2013,29,356,"h"
"MDG",2018,33,1408,"h"
"MDG",2017,32,409,"h"
"MDG",2021,3,2,"h"
"MDG",2022,15,26,"h"
"MDG",2014,21,261,"h"
"MDG",2014,26,213,"h"
"MDG",2022,34,376,"h"
"MDG",2023,15,55,"h"
"MDG",2020,29,643,"h"
"MDG",2014,34,639,"h"
"MDG",2013,33,711,"h"
"MDG",2017,2,130,"h"
"MDG",2017,26,360,"h"
"MDG",2022,30,16,"h"
"MDG",2020,38,1671,"h"
"MDG",2018,18,77,"h"
"MDG",2019,41,751,"h"
"MDG",2018,20,188,"h"
"MDG",2021,39,1044,"h"
"MDG",2015,41,1670,"h"
"MDG",2018,50,155,"h"
"MDG",2015,24,190,"h"
"MDG",2015,19,85,"h"
"MDG",2017,8,1,"h"
"MDG",2019,23,170,"h"
"MDG",2022,29,368,"h"
"MDG",2023,29,196,"h"
"MDG",2022,44,482,"h"
"MDG",2016,28,467,"h"
"MDG",2020,27,294,"h"
"MDG",2018,40,1424,"h"
"MDG",2012,41,1463,"h"
"MDG",2023,25,400,"h"
"MDG",2017,41,1080,"h"
"MDG",2022,47,195,"h"
"MDG",2019,33,805,"h"
"MDG",2020,48,852,"h"
"MDG",2015,15,15,"h"
"MDG",2016,30,551,"h"
"MDG",2022,40,1664,"h"
"MDG",2014,12,3,"h"
"MDG",2016,31,509,"h"
"MDG",2015,46,3459,"h"
"MDG",2016,36,921,"h"
"MDG",2020,13,15,"h"
"MDG",2020,47,1250,"h"
"MDG",2021,17,16,"h"
"MDG",2013,43,1964,"h"
"MDG",2016,46,651,"h"
"MDG",2022,26,406,"h"
"MDG",2019,9,1,"h"
"MDG",2022,41,1706,"h"
"MDG",2023,33,311,"h"
"MDG",2015,45,178,"h"
"MDG",2021,20,264,"h"
"MDG",2018,34,572,"h"
"MDG",2020,21,243,"h"
"MDG",2012,49,526,"h"
"MDG",2015,28,260,"h"
"MDG",2014,42,849,"h"
"MDG",2019,31,371,"h"
"MDG",2019,35,775,"h"
"MDG",2016,5,1,"h"
"MDG",2017,20,91,"h"
"MDG",2019,10,3,"h"
"MDG",2016,35,1605,"h"
"MDG",2016,18,237,"h"
"MDG",2013,45,2540,"h"
"MDG",2021,6,2,"h"
"MDG",2012,19,72,"h"
"MDG",2014,24,313,"h"
"MDG",2019,21,58,"h"
"MDG",2019,34,245,"h"
"MDG",2014,52,41,"h"
"MDG",2019,49,169,"h"
"MDG",2020,17,15,"h"
"MDG",2014,51,64,"h"
"MDG",2017,22,125,"h"
"MDG",2018,5,19,"h"
"MDG",2019,27,324,"h"
"MDG",2014,38,1184,"h"
"MDG",2016,16,251,"h"
"MDG",2022,37,661,"h"
"MDG",2022,17,15,"h"
"MDG",2021,2,26,"h"
"MDG",2018,28,359,"h"
"MDG",2012,17,67,"h"
"MDG",2014,23,257,"h"
"MDG",2020,19,276,"h"
"MDG",2012,26,403,"h"
"MDG",2019,38,670,"h"
"MDG",2023,22,277,"h"
"MDG",2023,52,14,"h"
"MDG",2012,52,54,"h"
"MDG",2018,1,6,"h"
"MDG",2022,45,883,"h"
"MDG",2017,34,403,"h"
"MDG",2022,35,898,"h"
"MDG",2012,12,1,"h"
"MDG",2013,22,440,"h"
"MDG",2020,3,8,"h"
"MDG",2017,46,339,"h"
"MDG",2016,51,172,"h"
"MDG",2019,24,261,"h"
"MDG",2014,2,27,"h"
"MDG",2020,49,378,"h"
"MDG",2013,41,1697,"h"
"MDG",2015,37,756,"h"
"MDG",2016,44,1277,"h"
"MDG",2012,10,3,"h"
"MDG",2013,9,5,"h"
"MDG",2012,20,101,"h"
"MDG",2013,14,50,"h"
"MDG",2022,36,433,"h"
"MDG",2021,11,1,"h"
"MDG",2020,37,447,"h"
"MDG",2019,50,38,"h"
"MDG",2020,25,258,"h"
"MDG",2021,26,506,"h"
"MDG",2019,28,280,"h"
"MDG",2021,25,204,"h"
"MDG",2022,14,18,"h"
"MDG",2020,40,718,"h"
"MDG",2015,21,129,"h"
"MDG",2019,46,457,"h"
"MDG",2020,14,61,"h"
"MDG",2015,44,175,"h"
"MDG",2019,37,459,"h"
"MDG",2012,27,355,"h"
"MDG",2016,8,3,"h"
"MDG",2021,14,9,"h"
"MDG",2023,35,649,"h"
"MDG",2017,49,371,"h"
"MDG",2019,13,2,"h"
"MDG",2013,40,382,"h"
"MDG",2017,11,2,"h"
"MDG",2014,11,8,"h"
"MDG",2022,42,1184,"h"
"MDG",2018,51,50,"h"
"MDG",2016,6,3,"h"
"MDG",2014,18,143,"h"
"MDG",2012,1,1,"h"
"MDG",2017,23,279,"h"
"MDG",2014,16,77,"h"
"MDG",2017,28,687,"h"
"MDG",2012,34,615,"h"
"MDG",2019,15,12,"h"
"MDG",2018,42,822,"h"
"MDG",2015,43,1567,"h"
"MDG",2017,44,1094,"h"
"MDG",2018,49,399,"h"
"MDG",2017,12,1,"h"
"MDG",2013,37,2013,"h"
"MDG",2012,16,14,"h"
"MDG",2015,42,1167,"h"
"MDG",2019,40,439,"h"
"MDG",2013,48,186,"h"
"MDG",2021,16,13,"h"
"MDG",2021,18,67,"h"
"MDG",2015,39,702,"h"
"MDG",2023,13,5,"h"
"MDG",2018,47,372,"h"
"MDG",2022,43,617,"h"
"MDG",2018,26,338,"h"
"MDG",2018,24,253,"h"
"MDG",2014,46,869,"h"
"MDG",2019,7,9,"h"
"MDG",2023,32,308,"h"
"MDG",2012,31,361,"h"
"MDG",2020,20,185,"h"
"MDG",2012,42,1871,"h"
"MDG",2016,29,277,"h"
"MDG",2013,51,172,"h"
"MDG",2015,53,1,"h"
"MDG",2012,8,2,"h"
"MDG",2014,3,4,"h"
